symbol,yf_ticker,company,sector,close,pass_trend_template,trend_template_hits,rs_rating,vcp_detected,vcp_score,pivot,distance_to_pivot_pct,notes
UKEM,UKEM.BK,UNION PETROCHEMICAL PUBLIC COMPANY LIMITED,-,1.51,True,7,98.0,False,5.83,1.68,11.26,
ML,ML.BK,"MIDA LEASING PUBLIC CO., LTD.",Finance & Securities,0.67,True,7,99.0,False,0.0,0.12,-81.81,
GUNKUL,GUNKUL.BK,GUNKUL ENGINEERING PUBLIC COMPANY LIMITED,Energy & Utilities,5.3,True,7,98.0,False,0.0,5.4,1.89,
MIDA,MIDA.BK,MIDA ASSETS PUBLIC COMPANY LIMITED,Commerce,0.47,True,7,97.0,False,0.0,0.51,8.51,
BCP,BCP.BK,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,Energy & Utilities,54.75,True,7,96.0,False,0.0,49.75,-9.13,
GEL,GEL.BK,GENERAL ENGINEERING PUBLIC COMPANY LIMITED,Construction Materials,0.05,True,7,95.0,False,0.0,,,
PSP,PSP.BK,P.S.P.Specialties Public Company Limited,Industrial Materials & Machinery,7.55,True,7,95.0,False,0.0,7.65,1.32,
EPG,EPG.BK,EASTERN POLYMER GROUP PUBLIC COMPANY LIMITED,Construction Materials,6.25,True,7,94.0,False,0.0,6.4,2.4,
EURO,EURO.BK,Euro Creations Public Company Limited,-,7.0,True,7,94.0,False,0.0,7.3,4.29,
GGC,GGC.BK,GLOBAL GREEN CHEMICALS PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals,5.85,True,7,94.0,False,0.0,4.36,-25.47,
PTTGC,PTTGC.BK,PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals,44.0,True,7,94.0,False,0.0,40.0,-9.09,
STECH,STECH.BK,SIAM TECHNIC CONCRETE PUBLIC COMPANY LIMITED,Construction Materials,1.61,True,7,94.0,False,0.0,1.65,2.48,
PAP,PAP.BK,PACIFIC PIPE PUBLIC COMPANY LIMITED,Steel and Metal Products,3.16,True,7,93.0,False,0.0,3.49,10.38,
TC,TC.BK,TROPICAL CANNING (THAILAND) PUBLIC COMPANY LIMITED,Food & Beverage,8.25,True,7,93.0,False,0.0,6.75,-18.18,
STA,STA.BK,SRI TRANG AGRO-INDUSTRY PUBLIC COMPANY LIMITED,Agribusiness,21.4,True,7,92.0,False,0.0,18.92,-11.6,
WAVE,WAVE.BK,WAVE EXPONENTIAL PUBLIC COMPANY LIMITED,Professional Services,0.04,True,7,92.0,False,0.0,,,
2S,2S.BK,2S METAL PUBLIC COMPANY LIMITED,Steel and Metal Products,3.78,True,7,91.0,False,0.0,4.6,21.71,
BGC,BGC.BK,BG CONTAINER GLASS PUBLIC COMPANY LIMITED,Packaging,6.9,True,7,90.0,False,0.0,7.11,3.03,
CPH,CPH.BK,CASTLE PEAK HOLDINGS PUBLIC COMPANY LIMITED,Fashion,12.0,True,7,90.0,False,0.0,8.6,-28.33,
